,Bundesland,Landkreis,date,infected,log(infected+1)
3015,Bayern,Weißenburg-Gunzenhausen,17-03,2.0,1.0986122886681098
3016,Sachsen-Anhalt,Magdeburg Städte,17-03,16.0,2.833213344056216
3017,Sachsen,Mittweida,17-03,0.0,0.0
3018,Sachsen-Anhalt,Stendal,17-03,1.0,0.6931471805599453
3019,Hessen,Werra-Meißner-Kreis,17-03,1.0,0.6931471805599453
3020,Nordrhein-Westfalen,Wesel,17-03,35.0,3.58351893845611
3021,Niedersachsen,Wesermarsch,17-03,0.0,0.0
3022,Rheinland-Pfalz,Westerwaldkreis,17-03,22.0,3.1354942159291497
3023,Hessen,Wetteraukreis,17-03,13.0,2.6390573296152584
3024,Hessen,Wiesbaden Städte,17-03,6.0,1.9459101490553132
3025,Niedersachsen,Wilhelmshaven Städte,17-03,3.0,1.3862943611198906
3026,Mecklenburg-Vorpommern,Schwerin Städte,17-03,7.0,2.0794415416798357
3027,Sachsen-Anhalt,Wittenberg,17-03,2.0,1.0986122886681098
3028,Niedersachsen,Wittmund,17-03,3.0,1.3862943611198906
3029,Niedersachsen,Wolfenbüttel,17-03,0.0,0.0
3030,Niedersachsen,Wolfsburg Städte,17-03,3.0,1.3862943611198906
3031,Rheinland-Pfalz,Worms Städte,17-03,0.0,0.0
3032,Bayern,Wunsiedel,17-03,3.0,1.3862943611198906
3033,Nordrhein-Westfalen,Wuppertal Städte,17-03,21.0,3.091042453358316
3034,Bayern,Würzburg,17-03,9.0,2.302585092994046
3035,Bayern,Würzburg Städte,17-03,12.0,2.5649493574615367
3036,Baden-Württemberg,Zollernalbkreis,17-03,33.0,3.5263605246161616
3037,Rheinland-Pfalz,Zweibrücken Städte,17-03,0.0,0.0
3038,Nordrhein-Westfalen,Aachen,18-03,71.0,4.276666119016055
3039,Nordrhein-Westfalen,Aachen Städte,18-03,107.0,4.68213122712422
3040,Sachsen-Anhalt,Anhalt-Zerbst,18-03,3.0,1.3862943611198906
3041,Sachsen-Anhalt,Bitterfeld,18-03,3.0,1.3862943611198906
3042,Sachsen-Anhalt,Köthen,18-03,3.0,1.3862943611198906
3043,Sachsen,Bautzen,18-03,20.0,3.044522437723423
3044,Sachsen,Kamenz,18-03,20.0,3.044522437723423
3045,Sachsen-Anhalt,Bördekreis,18-03,12.0,2.5649493574615367
3046,Sachsen-Anhalt,Ohrekreis,18-03,12.0,2.5649493574615367
3047,Niedersachsen,Cuxhaven,18-03,32.0,3.4965075614664802
3048,Niedersachsen,Oldenburg,18-03,17.0,2.8903717578961645
3049,Sachsen,Annaberg,18-03,4.0,1.6094379124341003
3050,Sachsen,Aue-Schwarzenberg,18-03,4.0,1.6094379124341003
3051,Sachsen,Mittlerer Erzgebirgskreis,18-03,4.0,1.6094379124341003
3052,Sachsen,Stollberg,18-03,4.0,1.6094379124341003
3053,Sachsen,Görlitz Städte,18-03,3.0,1.3862943611198906
3054,Sachsen,Löbau-Zittau,18-03,3.0,1.3862943611198906
